급수,대표음,한자,대표훈
준8급,거/차,車,수레
준8급,구,口,입
준8급,구,九,아홉
준8급,도,刀,칼
준8급,륙,六,여섯
준8급,목,目,눈
준8급,목,木,나무
준8급,문,門,문
준8급,사,四,넷
준8급,산,山,산
준8급,삼,三,셋
준8급,석,石,돌
준8급,수,手,손
준8급,수,水,물
준8급,십,十,열
준8급,오,五,다섯
준8급,우,雨,비
준8급,월,月,달
준8급,의,衣,옷
준8급,이,耳,귀
준8급,이,二,둘
준8급,일,一,하나
준8급,일,日,해/날
준8급,족,足,발
준8급,천,川,내
준8급,칠,七,일곱
준8급,토,土,흙
준8급,팔,八,여덟
준8급,화,禾,벼
준8급,화,火,불
8급,금/김,金,쇠/성
8급,녀,女,여자
8급,대,大,크다
8급,력,力,힘
8급,모,母,어미
8급,부,父,아비
8급,비,鼻,코
8급,상,上,위
8급,소,小,작다
8급,신,身,몸
8급,심,心,마음
8급,인,人,사람
8급,입,入,들어가다
8급,자,子,아들
8급,자,自,스스로
8급,전,田,밭
8급,주,走,달리다
8급,주,主,주인
8급,중,中,가운데
8급,하,下,아래
준7급,견/현,見,보다
준7급,군,軍,군사
준7급,궁,弓,활
준7급,남,南,남녘
준7급,내,內,안
준7급,년,年,해
준7급,동,東,동녘
준7급,로,老,늙다
준7급,마,馬,말
준7급,면,面,낯
준7급,백,白,희다
준7급,병,兵,병사
준7급,북/배,北,북녘/달아나다
준7급,서,西,서녘
준7급,소,少,적다
준7급,식,食,먹다
준7급,양,羊,양
준7급,왕,王,임금
준7급,외,外,바깥
준7급,우,牛,소
준7급,장,長,길다/어른
준7급,제,弟,아우
준7급,조,鳥,새
준7급,주,住,살다
준7급,청,青,푸르다
준7급,행/항,行,가다/항렬
준7급,혁,革,가죽/고치다
준7급,형,兄,형
준7급,호,虎,호랑이
7급,강,江,강
7급,거,去,가다
7급,고,古,예
7급,골,骨,뼈
7급,공,工,장인
7급,공,空,비다
7급,교,教,가르치다
7급,교,校,학교
7급,국,國,나라
7급,남,男,사내
7급,다,多,많다
7급,래,來,오다
7급,립,立,서다
7급,만,萬,일만
7급,말,末,끝
7급,명,名,이름
7급,민,民,백성
7급,방,方,모
7급,백,百,일백
7급,본,本,근본
7급,부,夫,남편
7급,비,飛,날다
7급,생,生,나다
7급,석,夕,저녁
7급,선,先,먼저
7급,세,世,인간
7급,수,首,머리
7급,실,室,집
7급,오,午,낮
7급,적,赤,붉다
7급,정,正,바르다
7급,천,千,일천
7급,천,天,하늘
7급,촌,寸,마디
7급,출,出,나가다
7급,치,齒,이
7급,학,學,배우다
7급,한,韓,나라 이름
7급,향,向,향하다
7급,흑,黑,검다
준6급,가,家,집
준6급,과,果,열매
준6급,기,氣,기운
준6급,기,記,기록하다
준6급,농,農,농사
준6급,답,答,대답하다
준6급,대,對,대하다
준6급,도,道,길
준6급,동,冬,겨울
준6급,동,動,움직이다
준6급,동/통,洞,골/밝다
준6급,등,登,오르다
준6급,로,路,길
준6급,리,里,마을
준6급,림,林,수풀
준6급,명,命,목숨
준6급,별,別,다르다
준6급,산,產,낳다
준6급,성,成,이루다
준6급,성,姓,성
준6급,소,所,바
준6급,손,孫,손자
준6급,수/삭,數,셈/자주
준6급,시,市,저자
준6급,양,陽,볕
준6급,연,然,그러하다
준6급,옥,玉,구슬
준6급,온,溫,따뜻하다
준6급,육,育,기르다
준6급,읍,邑,고을
준6급,의,醫,의원
준6급,장,場,마당
준6급,조,祖,할아비
준6급,직,直,곧다
준6급,체,體,몸
준6급,초,草,풀
준6급,촌,村,마을
준6급,추,秋,가을
준6급,춘,春,봄
준6급,태,太,크다
준6급,평,平,평평하다
준6급,풍,風,바람
준6급,하,夏,여름
준6급,한,漢,한나라
준6급,해,海,바다
준6급,현,現,나타나다
준6급,화,花,꽃
준6급,활,活,살다
준6급,효,孝,효도
준6급,휴,休,쉬다
6급,각,角,뿔
6급,고,高,높다
6급,공,公,공평하다
6급,공,共,함께
6급,광,光,빛
6급,교,交,사귀다
6급,금,今,이제
6급,기,己,몸
6급,대,代,대신하다
6급,동,同,같다
6급,모,毛,털
6급,무,無,없다
6급,문,文,글월
6급,미,米,쌀
6급,반,反,돌이키다
6급,분,分,나누다
6급,불/부,不,아니다
6급,사,士,선비
6급,사,事,일
6급,색,色,빛
6급,시,時,때
6급,실,失,잃다
6급,안,安,편안하다
6급,어,語,말씀
6급,언,言,말씀
6급,용,用,쓰다
